time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-28T14:22:23.527Z,39.0892,-119.6352,10.5,3,ml,31,73.02,0.028,0.1704,nn,nn00516642,2016-01-22T23:41:21.040Z,"8km ENE of Johnson Lane, Nevada",earthquake,0.63,0.7,0.27,17,reviewed,nn,nn
2015-10-28T00:07:33.410Z,37.7775,-121.9635,8.98,3.13,ml,118,52,0.01286,0.09,nc,nc72545010,2016-01-22T23:41:20.040Z,"1km ESE of San Ramon, California",earthquake,0.1,0.16,0.17,66,reviewed,nc,nc
2015-10-24T07:44:07.040Z,37.7831667,-121.9691667,9.6,3.21,mw,157,30,0.005879,0.21,nc,nc72542920,2016-01-22T23:41:13.040Z,"0km ENE of San Ramon, California",earthquake,0.16,0.22,,4,reviewed,nc,nc
2015-10-24T07:43:46.260Z,37.781,-121.9668333,9.24,3.21,mw,166,53,0.008554,0.16,nc,nc72542915,2016-01-22T23:41:13.040Z,"0km E of San Ramon, California",earthquake,0.12,0.18,,4,reviewed,nc,nc
2015-10-23T13:48:24.590Z,37.7825,-121.9655,8.7,3.23,mw,133,53,0.007781,0.12,nc,nc72542520,2016-01-22T23:41:11.040Z,"1km ENE of San Ramon, California",earthquake,0.11,0.17,,4,reviewed,nc,nc
2015-10-19T23:21:17.680Z,37.7918333,-121.9635,7.4,3.6,mw,161,56,0.00684,0.15,nc,nc72540765,2016-09-13T08:05:03.635Z,"1km NE of San Ramon, California",earthquake,0.1,0.1,,5,reviewed,nc,nc
2015-10-18T22:31:28.150Z,37.7898333,-121.9643333,8.62,3.26,mw,131,55,0.005574,0.14,nc,nc72540130,2016-01-15T20:51:09.040Z,"1km NE of San Ramon, California",earthquake,0.11,0.16,,4,reviewed,nc,nc
2015-10-18T13:16:34.210Z,38.8076667,-122.8156667,1.3,3.3,ml,61,30,0.01591,0.1,nc,nc72539720,2016-01-15T20:51:05.040Z,"6km WNW of The Geysers, California",earthquake,0.11,0.42,0.119,52,reviewed,nc,nc
2015-10-15T13:10:20.920Z,37.7861667,-121.9643333,8.52,3.36,mw,159,39,0.006087,0.14,nc,nc72537675,2016-01-15T20:50:40.040Z,"1km ENE of San Ramon, California",earthquake,0.1,0.14,,4,reviewed,nc,nc
2015-10-14T10:58:41.190Z,37.7853333,-121.9636667,7.96,3.08,mw,119,54,0.006944,0.1,nc,nc72536565,2016-01-11T21:07:26.040Z,"1km ENE of San Ramon, California",earthquake,0.1,0.14,,3,reviewed,nc,nc
2015-09-15T12:46:06.150Z,38.809,-122.8128333,3.25,3,ml,39,48,0.01374,0.04,nc,nc72525476,2015-12-12T00:42:53.040Z,"6km NW of The Geysers, California",earthquake,0.1,0.23,0.149,39,reviewed,nc,nc
2015-08-23T17:41:18.670Z,38.7843333,-122.7436667,3.51,3.83,mw,105,34,0.005535,0.07,nc,nc72511186,2016-01-27T22:42:09.633Z,"1km NE of The Geysers, California",earthquake,0.09,0.15,,4,reviewed,nc,nc
2015-08-17T13:49:17.320Z,37.8366667,-122.2321667,4.69,4.01,mw,270,12,0.01169,0.15,nc,nc72507396,2016-09-13T15:56:36.820Z,"1km N of Piedmont, California",earthquake,0.08,0.11,,9,reviewed,nc,nc
2015-08-09T20:26:10.620Z,37.7861667,-122.5913333,10.36,3.12,ml,195,89,0.0649,0.1,nc,nc72503636,2016-01-22T19:39:54.450Z,"11km SSW of Tamalpais-Homestead Valley, California",earthquake,0.11,0.23,0.21,69,reviewed,nc,nc
2015-08-02T16:30:41.860Z,36.5578333,-120.6085,6.91,3.01,ml,185,23,0.1818,0.19,nc,nc72499526,2015-10-30T02:47:44.040Z,"29km SW of Mendota, California",earthquake,0.13,0.35,0.182,25,reviewed,nc,nc
2015-07-29T23:07:32.780Z,37.3136667,-121.6735,10.13,3.22,ml,160,36,,0.14,nc,nc72496776,2016-03-11T17:26:36.440Z,"14km ESE of Alum Rock, California",earthquake,0.11,0.23,0.177,60,reviewed,nc,nc
2015-07-27T18:24:25.220Z,38.9111667,-123.6168333,6.17,3.45,ml,60,149,0.1031,0.15,nc,nc72495466,2016-01-27T22:38:09.957Z,"6km E of Point Arena, California",earthquake,0.22,0.53,0.174,41,reviewed,nc,nc
2015-07-22T02:55:53.100Z,38.8175,-122.76,2.71,3.05,ml,88,25,0.01441,0.08,nc,nc72491441,2015-10-14T21:05:49.040Z,"3km W of Cobb, California",earthquake,0.11,0.15,0.212,44,reviewed,nc,nc
2015-07-21T09:41:14.480Z,37.5776667,-121.974,8.37,3.98,mw,282,16,0.008754,0.17,nc,nc72490826,2016-03-31T07:53:16.331Z,"3km NNE of Fremont, California",earthquake,0.08,0.12,,4,reviewed,nc,nc
